INFO:root:Prior distribution: exponential
INFO:root:Prior mu: 1.0
INFO:root:Prior sigma: 2.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 41, style_loss: nan, style_accu: 0.5020 pt_loss: nan, recon_loss: 0.6905, kld: nan, ind_loss: 0.5489, style_recon_loss: 0.4276, temp_o: 1.0000
INFO:root:iter: 42, style_loss: nan, style_accu: 0.4883 pt_loss: nan, recon_loss: 0.7133, kld: nan, ind_loss: 0.5140, style_recon_loss: 0.3992, temp_o: 1.0000
INFO:root:iter: 43, style_loss: nan, style_accu: 0.5312 pt_loss: nan, recon_loss: 0.6431, kld: nan, ind_loss: 0.5560, style_recon_loss: 0.4040, temp_o: 1.0000
INFO:root:iter: 44, style_loss: nan, style_accu: 0.5020 pt_loss: nan, recon_loss: 0.7020, kld: nan, ind_loss: 0.6026, style_recon_loss: 0.4335, temp_o: 1.0000
INFO:root:iter: 45, style_loss: nan, style_accu: 0.5312 pt_loss: nan, recon_loss: 0.6875, kld: nan, ind_loss: 0.5338, style_recon_loss: 0.4282, temp_o: 1.0000
INFO:root:iter: 46, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.6928, kld: nan, ind_loss: 0.5082, style_recon_loss: 0.4221, temp_o: 1.0000
INFO:root:iter: 47, style_loss: nan, style_accu: 0.4707 pt_loss: nan, recon_loss: 0.7421, kld: nan, ind_loss: 0.5676, style_recon_loss: 0.4727, temp_o: 1.0000
INFO:root:iter: 48, style_loss: nan, style_accu: 0.5039 pt_loss: nan, recon_loss: 0.6065, kld: nan, ind_loss: 0.4944, style_recon_loss: 0.4289, temp_o: 1.0000
INFO:root:iter: 49, style_loss: nan, style_accu: 0.4844 pt_loss: nan, recon_loss: 0.6855, kld: nan, ind_loss: 0.4940, style_recon_loss: 0.4320, temp_o: 1.0000
INFO:root:iter: 50, style_loss: nan, style_accu: 0.5254 pt_loss: nan, recon_loss: 0.6242, kld: nan, ind_loss: 0.5878, style_recon_loss: 0.4296, temp_o: 1.0000
INFO:root:iter: 51, style_loss: nan, style_accu: 0.4922 pt_loss: nan, recon_loss: 0.7233, kld: nan, ind_loss: 0.5675, style_recon_loss: 0.4502, temp_o: 1.0000
INFO:root:iter: 52, style_loss: nan, style_accu: 0.5254 pt_loss: nan, recon_loss: 0.6275, kld: nan, ind_loss: 0.5352, style_recon_loss: 0.3961, temp_o: 1.0000
INFO:root:iter: 53, style_loss: nan, style_accu: 0.4961 pt_loss: nan, recon_loss: 0.6527, kld: nan, ind_loss: 0.5619, style_recon_loss: 0.4376, temp_o: 1.0000
INFO:root:iter: 54, style_loss: nan, style_accu: 0.4961 pt_loss: nan, recon_loss: 0.6384, kld: nan, ind_loss: 0.5824, style_recon_loss: 0.4584, temp_o: 1.0000
INFO:root:iter: 55, style_loss: nan, style_accu: 0.4668 pt_loss: nan, recon_loss: 0.7148, kld: nan, ind_loss: 0.6277, style_recon_loss: 0.4788, temp_o: 1.0000
INFO:root:iter: 56, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.6004, kld: nan, ind_loss: 0.5626, style_recon_loss: 0.4284, temp_o: 1.0000
INFO:root:iter: 57, style_loss: nan, style_accu: 0.4922 pt_loss: nan, recon_loss: 0.6993, kld: nan, ind_loss: 0.7068, style_recon_loss: 0.4818, temp_o: 1.0000
INFO:root:iter: 58, style_loss: nan, style_accu: 0.5156 pt_loss: nan, recon_loss: 0.6834, kld: nan, ind_loss: 0.6377, style_recon_loss: 0.4725, temp_o: 1.0000
INFO:root:iter: 59, style_loss: nan, style_accu: 0.4883 pt_loss: nan, recon_loss: 0.7169, kld: nan, ind_loss: 0.5886, style_recon_loss: 0.4733, temp_o: 1.0000
INFO:root:iter: 60, style_loss: nan, style_accu: 0.5176 pt_loss: nan, recon_loss: 0.7764, kld: nan, ind_loss: 0.5547, style_recon_loss: 0.5301, temp_o: 1.0000
INFO:root:iter: 61, style_loss: nan, style_accu: 0.5098 pt_loss: nan, recon_loss: 0.7622, kld: nan, ind_loss: 0.5534, style_recon_loss: 0.5171, temp_o: 1.0000
INFO:root:iter: 62, style_loss: nan, style_accu: 0.5078 pt_loss: nan, recon_loss: 0.7073, kld: nan, ind_loss: 0.5741, style_recon_loss: 0.4723, temp_o: 1.0000
INFO:root:iter: 63, style_loss: nan, style_accu: 0.5000 pt_loss: nan, recon_loss: 0.7623, kld: nan, ind_loss: 0.6471, style_recon_loss: 0.5048, temp_o: 1.0000
INFO:root:iter: 64, style_loss: nan, style_accu: 0.4785 pt_loss: nan, recon_loss: 0.8134, kld: nan, ind_loss: 0.6262, style_recon_loss: 0.5439, temp_o: 1.0000
INFO:root:iter: 65, style_loss: nan, style_accu: 0.4805 pt_loss: nan, recon_loss: 0.7840, kld: nan, ind_loss: 0.6248, style_recon_loss: 0.4944, temp_o: 1.0000
INFO:root:iter: 66, style_loss: nan, style_accu: 0.5039 pt_loss: nan, recon_loss: 0.7697, kld: nan, ind_loss: 0.6094, style_recon_loss: 0.5328, temp_o: 1.0000
INFO:root:iter: 67, style_loss: nan, style_accu: 0.4512 pt_loss: nan, recon_loss: 0.8140, kld: nan, ind_loss: 0.6793, style_recon_loss: 0.5355, temp_o: 1.0000
INFO:root:iter: 68, style_loss: nan, style_accu: 0.4980 pt_loss: nan, recon_loss: 0.8361, kld: nan, ind_loss: 0.6638, style_recon_loss: 0.5511, temp_o: 1.0000
