Prior mu: 0.0
Prior sigma: 1.0
INFO:root:Start running ...
INFO:root:Restoring vars from ./example_models/pre_vae/snapshots/_vars_464000.p
INFO:root:Restoring disc vars from ./example_models/pre_disc/snapshots/_disc_vars_50880.p
INFO:root:iter: 73, style_loss: 1.8478, style_accu: 0.7168 pt_loss: 1.4048, recon_loss: 0.1447, kld: 7.6418, ind_loss: 0.1393, style_recon_loss: 0.1044, temp_o: 1.0000
INFO:root:iter: 74, style_loss: 1.8916, style_accu: 0.7168 pt_loss: 1.4230, recon_loss: 0.1619, kld: 7.5885, ind_loss: 0.1709, style_recon_loss: 0.1101, temp_o: 1.0000
INFO:root:iter: 75, style_loss: 1.8178, style_accu: 0.7266 pt_loss: 1.3946, recon_loss: 0.1424, kld: 7.6044, ind_loss: 0.1685, style_recon_loss: 0.1036, temp_o: 1.0000
INFO:root:iter: 76, style_loss: 1.8604, style_accu: 0.7227 pt_loss: 1.4107, recon_loss: 0.1596, kld: 7.5532, ind_loss: 0.1449, style_recon_loss: 0.1092, temp_o: 1.0000
INFO:root:iter: 77, style_loss: 1.8022, style_accu: 0.7207 pt_loss: 1.3751, recon_loss: 0.1290, kld: 7.5740, ind_loss: 0.1731, style_recon_loss: 0.1022, temp_o: 1.0000
INFO:root:iter: 78, style_loss: 1.8807, style_accu: 0.7324 pt_loss: 1.3936, recon_loss: 0.1452, kld: 7.5251, ind_loss: 0.2172, style_recon_loss: 0.1069, temp_o: 1.0000
INFO:root:iter: 79, style_loss: 1.8306, style_accu: 0.7188 pt_loss: 1.3696, recon_loss: 0.1260, kld: 7.5431, ind_loss: 0.2094, style_recon_loss: 0.1008, temp_o: 1.0000
INFO:root:iter: 80, style_loss: 1.8600, style_accu: 0.7207 pt_loss: 1.3797, recon_loss: 0.1364, kld: 7.4968, ind_loss: 0.1265, style_recon_loss: 0.1052, temp_o: 1.0000
INFO:root:iter: 81, style_loss: 1.8308, style_accu: 0.7344 pt_loss: 1.3813, recon_loss: 0.1434, kld: 7.5130, ind_loss: 0.1735, style_recon_loss: 0.0996, temp_o: 1.0000
INFO:root:iter: 82, style_loss: 1.8279, style_accu: 0.7207 pt_loss: 1.3663, recon_loss: 0.1315, kld: 7.4679, ind_loss: 0.1429, style_recon_loss: 0.1045, temp_o: 1.0000
INFO:root:iter: 83, style_loss: 1.8319, style_accu: 0.7285 pt_loss: 1.3948, recon_loss: 0.1598, kld: 7.4806, ind_loss: 0.1713, style_recon_loss: 0.0984, temp_o: 1.0000
INFO:root:iter: 84, style_loss: 1.8591, style_accu: 0.7285 pt_loss: 1.3948, recon_loss: 0.1499, kld: 7.4354, ind_loss: 0.1377, style_recon_loss: 0.1045, temp_o: 1.0000
INFO:root:iter: 85, style_loss: 1.7807, style_accu: 0.7402 pt_loss: 1.3876, recon_loss: 0.1576, kld: 7.4542, ind_loss: 0.1784, style_recon_loss: 0.0985, temp_o: 1.0000
INFO:root:iter: 86, style_loss: 1.8835, style_accu: 0.6992 pt_loss: 1.3883, recon_loss: 0.1474, kld: 7.4127, ind_loss: 0.1456, style_recon_loss: 0.1051, temp_o: 1.0000
INFO:root:iter: 87, style_loss: 1.8535, style_accu: 0.7246 pt_loss: 1.3861, recon_loss: 0.1406, kld: 7.4358, ind_loss: 0.1589, style_recon_loss: 0.0987, temp_o: 1.0000
INFO:root:iter: 88, style_loss: 1.8290, style_accu: 0.7246 pt_loss: 1.3880, recon_loss: 0.1537, kld: 7.3974, ind_loss: 0.1345, style_recon_loss: 0.1062, temp_o: 1.0000
INFO:root:iter: 89, style_loss: 1.8103, style_accu: 0.7344 pt_loss: 1.3812, recon_loss: 0.1471, kld: 7.4222, ind_loss: 0.1502, style_recon_loss: 0.0985, temp_o: 1.0000
INFO:root:iter: 90, style_loss: 1.8345, style_accu: 0.7227 pt_loss: 1.3996, recon_loss: 0.1546, kld: 7.3841, ind_loss: 0.1313, style_recon_loss: 0.1066, temp_o: 1.0000
INFO:root:iter: 91, style_loss: 1.8069, style_accu: 0.7383 pt_loss: 1.3921, recon_loss: 0.1569, kld: 7.4156, ind_loss: 0.1497, style_recon_loss: 0.0974, temp_o: 1.0000
INFO:root:iter: 92, style_loss: 1.8140, style_accu: 0.7441 pt_loss: 1.3898, recon_loss: 0.1603, kld: 7.3845, ind_loss: 0.1227, style_recon_loss: 0.1066, temp_o: 1.0000
INFO:root:iter: 93, style_loss: 1.7638, style_accu: 0.7520 pt_loss: 1.3554, recon_loss: 0.1259, kld: 7.4228, ind_loss: 0.1763, style_recon_loss: 0.0967, temp_o: 1.0000
INFO:root:iter: 94, style_loss: 1.8106, style_accu: 0.7285 pt_loss: 1.3641, recon_loss: 0.1345, kld: 7.3929, ind_loss: 0.1624, style_recon_loss: 0.1064, temp_o: 1.0000
INFO:root:iter: 95, style_loss: 1.7899, style_accu: 0.7539 pt_loss: 1.3947, recon_loss: 0.1689, kld: 7.4307, ind_loss: 0.1367, style_recon_loss: 0.0959, temp_o: 1.0000
INFO:root:iter: 96, style_loss: 1.8354, style_accu: 0.7402 pt_loss: 1.3701, recon_loss: 0.1352, kld: 7.4001, ind_loss: 0.1541, style_recon_loss: 0.1061, temp_o: 1.0000
